experiment_id,run,sample_index,timestamp_ms,sensor,channel,phase,raw_value,raw_valid,injection,fault_active,expected_fault,injected_value,injected_valid,detected_flags,active_flags,health_score,state
sht30_temperature_v02,0,0,1137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,1,2137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,2,3137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,3,4137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,4,5137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,5,6137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,6,7137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,7,8137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,8,9137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,9,10137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,10,11137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,11,12137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,12,13137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,13,14137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,14,15137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,15,16137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,16,17137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,17,18137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,18,19137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,19,20137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,20,21137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,21,22137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,22,23137,SHT30,temperature_C,BASELINE,27.35523,True,PASS,False,NONE,27.35523,True,0,,100,HEALTHY
sht30_temperature_v02,0,23,24137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
sht30_temperature_v02,0,24,25137,SHT30,temperature_C,BASELINE,27.32586,True,PASS,False,NONE,27.32586,True,0,,100,HEALTHY
sht30_temperature_v02,0,25,26137,SHT30,temperature_C,BASELINE,27.31251,True,PASS,False,NONE,27.31251,True,0,,100,HEALTHY
sht30_temperature_v02,0,26,27137,SHT30,temperature_C,BASELINE,27.32586,True,PASS,False,NONE,27.32586,True,0,,100,HEALTHY
sht30_temperature_v02,0,27,28137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,28,29137,SHT30,temperature_C,BASELINE,27.36858,True,PASS,False,NONE,27.36858,True,0,,100,HEALTHY
sht30_temperature_v02,0,29,30137,SHT30,temperature_C,BASELINE,27.33921,True,PASS,False,NONE,27.33921,True,0,,100,HEALTHY
