# SensorTrust v0.1 scenario dataset
# scenario: missing_data
# expected: MISSING
# channel: temperature_C
# sample_interval_ms: 1000
#config: min_value=-40.0 max_value=85.0 stuck_epsilon=0.01 stuck_window=20 spike_threshold=3.0 drift_window=24 drift_threshold=0.01 missing_limit=3
timestamp_ms,value,valid
1000,25.0044,1
2000,25.0613,1
3000,25.0921,1
4000,24.9579,1
5000,25.0532,1
6000,25.0408,1
7000,25.0323,1
8000,24.9220,1
9000,24.9054,1
10000,24.9768,1
11000,25.0493,1
12000,24.9505,1
13000,25.0003,1
14000,24.9635,1
15000,25.0693,1
16000,25.0890,1
17000,24.9803,1
18000,25.0997,1
19000,24.9124,1
20000,25.0625,1
21000,25.0751,1
22000,24.9302,1
23000,25.0411,1
24000,25.0118,1
25000,25.0910,1
26000,24.9420,1
27000,25.0080,1
28000,25.0765,1
29000,25.0278,1
30000,24.9618,1
31000,24.9164,1
32000,25.0880,1
33000,24.9948,1
34000,25.0993,1
35000,24.9283,1
36000,25.0624,1
37000,25.0627,1
38000,25.0840,1
39000,24.9036,1
40000,24.9744,1
41000,24.9103,1
42000,25.0504,1
43000,24.9709,1
44000,25.0919,1
45000,24.9750,1
46000,25.0549,1
47000,25.0736,1
48000,24.9478,1
49000,25.0114,1
50000,25.0915,1
51000,25.0054,1
52000,24.9719,1
53000,24.9534,1
54000,25.0573,1
55000,24.9385,1
56000,25.0208,1
57000,25.0111,1
58000,25.0107,1
59000,24.9259,1
60000,25.0317,1
61000,nan,0
62000,nan,0
63000,nan,0
64000,nan,0
65000,nan,0
66000,nan,0
67000,nan,0
68000,nan,0
69000,nan,0
70000,nan,0
71000,nan,0
72000,nan,0
73000,nan,0
74000,nan,0
75000,nan,0
76000,25.0833,1
77000,24.9638,1
78000,24.9664,1
79000,25.0818,1
80000,25.0157,1
81000,24.9545,1
82000,24.9020,1
83000,25.0507,1
84000,24.9696,1
85000,24.9934,1
86000,24.9545,1
87000,25.0266,1
88000,25.0458,1
89000,24.9620,1
90000,24.9150,1
91000,25.0974,1
92000,25.0820,1
93000,24.9041,1
94000,25.0128,1
95000,25.0372,1
96000,24.9806,1
97000,25.0463,1
98000,25.0920,1
99000,25.0180,1
100000,24.9783,1
