# SensorTrust v0.1 scenario dataset
# scenario: spike
# expected: SPIKE
# channel: temperature_C
# sample_interval_ms: 1000
#config: min_value=-40.0 max_value=85.0 stuck_epsilon=0.01 stuck_window=20 spike_threshold=3.0 drift_window=24 drift_threshold=0.01 missing_limit=3
timestamp_ms,value,valid
1000,24.9607,1
2000,25.0203,1
3000,25.0152,1
4000,25.0440,1
5000,24.9771,1
6000,24.9756,1
7000,25.0234,1
8000,25.0158,1
9000,24.9803,1
10000,25.0184,1
11000,24.9897,1
12000,25.0278,1
13000,24.9618,1
14000,24.9723,1
15000,25.0401,1
16000,24.9858,1
17000,24.9760,1
18000,25.0304,1
19000,25.0132,1
20000,24.9650,1
21000,25.0051,1
22000,25.0164,1
23000,24.9665,1
24000,25.0152,1
25000,24.9623,1
26000,24.9837,1
27000,24.9583,1
28000,24.9704,1
29000,25.0478,1
30000,24.9904,1
31000,25.0490,1
32000,24.9939,1
33000,25.0108,1
34000,25.0373,1
35000,25.0187,1
36000,24.9612,1
37000,25.0089,1
38000,25.0134,1
39000,24.9681,1
40000,24.9595,1
41000,25.0375,1
42000,25.0014,1
43000,24.9694,1
44000,24.9953,1
45000,24.9718,1
46000,25.0298,1
47000,25.0000,1
48000,24.9602,1
49000,25.0318,1
50000,24.9590,1
51000,61.0000,1
52000,24.9528,1
53000,25.0240,1
54000,24.9614,1
55000,25.0026,1
56000,24.9593,1
57000,24.9980,1
58000,25.0185,1
59000,25.0035,1
60000,24.9955,1
61000,24.9985,1
62000,24.9937,1
63000,25.0095,1
64000,24.9595,1
65000,24.9975,1
66000,24.9736,1
67000,25.0365,1
68000,25.0439,1
69000,24.9566,1
70000,24.9643,1
71000,25.0203,1
72000,25.0071,1
73000,24.9519,1
74000,25.0205,1
75000,25.0444,1
76000,24.9923,1
77000,24.9847,1
78000,25.0069,1
79000,25.0439,1
80000,24.9764,1
81000,24.9802,1
82000,24.9689,1
83000,25.0128,1
84000,24.9969,1
85000,24.9756,1
86000,24.9888,1
87000,24.9535,1
88000,24.9812,1
89000,25.0483,1
90000,25.0086,1
91000,24.9783,1
92000,25.0436,1
93000,24.9858,1
94000,24.9752,1
95000,24.9535,1
96000,24.9646,1
97000,24.9699,1
98000,24.9730,1
99000,25.0373,1
100000,24.9765,1
